PersonID,DIV_CDE,DEGR_CDE,DEGREE_DESC,DTE_DEGR_CONFERRED,MAJOR_1,MAJOR_1_DESC
83908370,UG,BA   ,Bachelor of Arts,5/2/23,BADJR,DIGITAL JOURNALISM
83936300,UG,BS   ,Bachelor of Science,12/15/22,BSLGS,Legal Studies
83937630,UG,BS   ,Bachelor of Science,12/8/22,BSKOT,Kinesiology: Pre-Occupational Therapy
83945610,UG,BS   ,Bachelor of Science,5/2/23,BSKPT,Kinesiology: Pre-Physical Therapy
83946940,UG,BFA  ,Bachelor of Fine Arts,9/14/23,BFACW,Creative Writing
83953590,UG,BS   ,Bachelor of Science,8/26/22,BSPLS,Political Science
83954920,UG,BS   ,Bachelor of Science,4/27/23,BSBIM,Biology: Medical Sciences
83960240,UG,BS   ,Bachelor of Science,5/3/22,BSTHM,Tourism & Hospitality Management
83961570,UG,BS   ,Bachelor of Science,12/12/23,BSBIM,Biology: Medical Sciences
50022630,UG,BS   ,Bachelor of Science,5/4/18,ELEMK,Elementary Education
50025290,UG,BSW  ,Bachelor of Social Work,4/24/20,BSW,Social Work
50026620,UG,BS   ,Bachelor of Science,8/31/18,BSPMN,PRACTICAL MINISTRIES
50027950,UG,BS   ,Bachelor of Science,12/14/18,BSSME,SPORT MANAGEMENT: PE & COACHING
50033270,UG,BS   ,Bachelor of Science,3/31/18,BSSML,SPORT MANAGEMENT: LEADERSHIP
50035930,UG,BS   ,Bachelor of Science,4/26/19,BSINB,International Business
50041250,UG,BS   ,Bachelor of Science,5/4/18,BSPMN,PRACTICAL MINISTRIES
143701180,UG,BS   ,Bachelor of Science,12/12/23,BSGS,General Studies
76490960,UG,AML  ,Assoc Min Leadership,4/24/20,AML,Ministerial Leadership (SN)
57402800,UG,BBA  ,Bachelor of Busi Admin,5/4/18,BBA,Business Administration (SN)
47961130,UG,BS   ,Bachelor of Science,6/28/22,BSCOM,COMMUNICATION
80111220,UG,BS   ,Bachelor of Science,5/3/22,BSBPL,Business & Professional Leadership (SN)
80112550,UG,BS   ,Bachelor of Science,12/17/20,BSLDO,Organizational Leadership (SN)
80113880,UG,BS   ,Bachelor of Science,12/10/20,BSDMD,Digital Media & Design (SN)
6534290,UG,BS   ,Bachelor of Science,12/10/20,BSCYF,"CHILDREN, YOUTH, & FAMILY MINISTRIES"
6540940,UG,BS   ,Bachelor of Science,4/30/21,BSKEX,Kinesiology: Exercise Science
83964230,UG,BS   ,Bachelor of Science,4/27/23,BSPR,PUBLIC RELATIONS
56747110,UG,BS   ,Bachelor of Science,12/14/18,BSMUB,MUSIC BUSINESS
47619320,UG,BS   ,Bachelor of Science,12/13/19,BSINB,International Business
76540170,UG,BS   ,Bachelor of Science,4/30/21,BSLDO,Organizational Leadership (SN)
76553470,UG,BS   ,Bachelor of Science,4/27/23,BSKEX,Kinesiology: Exercise Science
76558790,UG,BS   ,Bachelor of Science,5/3/22,SDMAT,Secondary Mathematics
56032900,UG,BS   ,Bachelor of Science,4/26/19,BIOPR,BIOLOGY: PRE-MED
57624910,UG,BS   ,Bachelor of Science,4/24/20,BSCOM,COMMUNICATION
57626240,UG,BS   ,Bachelor of Science,4/26/19,BSMGT,Management
80160430,UG,BS   ,Bachelor of Science,12/12/23,BSMLM,Ministerial Leadership: Christian Ministry (SN)
80169740,UG,BS   ,Bachelor of Science,5/2/23,BSMCO,MINISTERIAL LEADERSHIP: CHRISTIAN MINISTRY (SN)
80202990,UG,BS   ,Bachelor of Science,5/3/22,ELEMK,Elementary Education
80205650,UG,BS   ,Bachelor of Science,5/3/22,BSLDO,Organizational Leadership (SN)
81543630,UG,BS   ,Bachelor of Science,12/7/23,BSINB,International Business
52315550,UG,BS   ,Bachelor of Science,4/26/19,ELEMK,Elementary Education
44650760,UG,BSW  ,Bachelor of Social Work,4/26/19,BSW,Social Work
53898250,UG,BS   ,Bachelor of Science,8/31/18,BSINB,International Business
981540,UG,BS   ,Bachelor of Science,4/26/19,BSECE,Early Childhood Education
45435460,UG,BS   ,Bachelor of Science,4/26/19,BSBIO,General Biology
48679330,UG,BS   ,Bachelor of Science,7/31/18,BSFLM,Film Production
49220640,UG,BS   ,Bachelor of Science,4/24/20,BSLDO,Organizational Leadership (SN)
56229740,UG,BS   ,Bachelor of Science,4/26/19,BSPSY,Psychology
52124030,UG,BBA  ,Bachelor of Busi Admin,12/10/20,BBA,Business Administration (SN)
46802700,UG,BS   ,Bachelor of Science,4/26/19,BSFLM,Film Production
48410670,UG,BS   ,Bachelor of Science,5/4/18,BSPSY,Psychology
48415990,UG,BS   ,Bachelor of Science,5/4/18,ELEMK,Elementary Education
76589380,UG,BA   ,Bachelor of Arts,5/3/22,BAEIC,ENGLISH & INTERCULTURAL STUDIES
62077750,UG,BS   ,Bachelor of Science,4/24/20,BSHUS,Human Services (SN)
4692240,UG,BS   ,Bachelor of Science,12/14/18,BSMUB,MUSIC BUSINESS
80210970,UG,BS   ,Bachelor of Science,4/30/21,ELEMK,Elementary Education
80248210,UG,BS   ,Bachelor of Science,4/30/21,BSDMD,Digital Media & Design (SN)
80249540,UG,BS   ,Bachelor of Science,6/30/21,BSLDO,Organizational Leadership (SN)
45439450,UG,BFA  ,Bachelor of Fine Arts,12/14/18,BFACW,Creative Writing
45440780,UG,BS   ,Bachelor of Science,12/14/18,BSMAT,Mathematics
55200320,UG,BS   ,Bachelor of Science,4/24/20,BSDMD,Digital Media & Design (SN)
5679100,UG,BS   ,Bachelor of Science,5/4/18,BSSME,SPORT MANAGEMENT: PE & COACHING
55871970,UG,BBA  ,Bachelor of Busi Admin,10/31/19,BBA,Business Administration (SN)
53145470,UG,BA   ,Bachelor of Arts,12/10/20,BAMUS,Music
45410190,UG,BS   ,Bachelor of Science,4/26/19,BSMUB,MUSIC BUSINESS
52029600,UG,BSW  ,Bachelor of Social Work,5/4/18,BSW,Social Work
54095090,UG,BS   ,Bachelor of Science,8/20/21,BSCYF,"CHILDREN, YOUTH, & FAMILY MINISTRIES"
57064980,UG,BBA  ,Bachelor of Busi Admin,4/26/19,BBA,Business Administration (SN)
