,PersonID,DIV_CDE,DEGR_CDE,DEGREE_DESC,DTE_DEGR_CONFERRED,MAJOR_1,MAJOR_1_DESC
0,83908370,UG,BA   ,Bachelor of Arts,5/2/23,BADJR,DIGITAL JOURNALISM
1,83936300,UG,BS   ,Bachelor of Science,12/15/22,BSLGS,Legal Studies
2,83937630,UG,BS   ,Bachelor of Science,12/8/22,BSKOT,Kinesiology: Pre-Occupational Therapy
3,83945610,UG,BS   ,Bachelor of Science,5/2/23,BSKPT,Kinesiology: Pre-Physical Therapy
4,83946940,UG,BFA  ,Bachelor of Fine Arts,9/14/23,BFACW,Creative Writing
5,83953590,UG,BS   ,Bachelor of Science,8/26/22,BSPLS,Political Science
6,83954920,UG,BS   ,Bachelor of Science,4/27/23,BSBIM,Biology: Medical Sciences
7,83960240,UG,BS   ,Bachelor of Science,5/3/22,BSTHM,Tourism & Hospitality Management
8,83961570,UG,BS   ,Bachelor of Science,12/12/23,BSBIM,Biology: Medical Sciences
9,50022630,UG,BS   ,Bachelor of Science,5/4/18,ELEMK,Elementary Education
10,50025290,UG,BSW  ,Bachelor of Social Work,4/24/20,BSW,Social Work
11,50026620,UG,BS   ,Bachelor of Science,8/31/18,BSPMN,PRACTICAL MINISTRIES
12,50027950,UG,BS   ,Bachelor of Science,12/14/18,BSSME,SPORT MANAGEMENT: PE & COACHING
13,50033270,UG,BS   ,Bachelor of Science,3/31/18,BSSML,SPORT MANAGEMENT: LEADERSHIP
14,50035930,UG,BS   ,Bachelor of Science,4/26/19,BSINB,International Business
15,50041250,UG,BS   ,Bachelor of Science,5/4/18,BSPMN,PRACTICAL MINISTRIES
16,143701180,UG,BS   ,Bachelor of Science,12/12/23,BSGS,General Studies
17,76490960,UG,AML  ,Assoc Min Leadership,4/24/20,AML,Ministerial Leadership (SN)
18,57402800,UG,BBA  ,Bachelor of Busi Admin,5/4/18,BBA,Business Administration (SN)
19,47961130,UG,BS   ,Bachelor of Science,6/28/22,BSCOM,COMMUNICATION
20,80111220,UG,BS   ,Bachelor of Science,5/3/22,BSBPL,Business & Professional Leadership (SN)
21,80112550,UG,BS   ,Bachelor of Science,12/17/20,BSLDO,Organizational Leadership (SN)
22,80113880,UG,BS   ,Bachelor of Science,12/10/20,BSDMD,Digital Media & Design (SN)
23,6534290,UG,BS   ,Bachelor of Science,12/10/20,BSCYF,"CHILDREN, YOUTH, & FAMILY MINISTRIES"
24,6540940,UG,BS   ,Bachelor of Science,4/30/21,BSKEX,Kinesiology: Exercise Science
25,83964230,UG,BS   ,Bachelor of Science,4/27/23,BSPR,PUBLIC RELATIONS
26,56747110,UG,BS   ,Bachelor of Science,12/14/18,BSMUB,MUSIC BUSINESS
27,47619320,UG,BS   ,Bachelor of Science,12/13/19,BSINB,International Business
28,76540170,UG,BS   ,Bachelor of Science,4/30/21,BSLDO,Organizational Leadership (SN)
